dep1,dep2,flux
01,01,184696
01,13,117
01,21,216
01,25,184
01,26,146
01,38,3252
01,39,1296
01,42,231
01,69,45865
01,71,9719
01,73,2016
01,74,2706
01,75,425
01,92,308
01,93,158
01,95,105
01,SU,31797
01,ZZ,252
02,02,156094
02,08,559
02,51,8618
02,59,3518
02,60,6704
02,62,319
02,75,4856
02,77,4299
02,78,311
02,80,3217
02,91,205
02,92,1054
02,93,2216
02,94,658
02,95,1706
02,BE,266
03,03,112326
03,18,990
03,23,676
03,42,562
03,58,708
03,63,5558
03,69,319
03,71,1652
03,75,354
04,04,53719
04,05,1507
04,06,592
04,13,4185
04,75,132
04,83,435
04,84,644
05,04,1308
05,05,54790
05,13,470
05,26,126
05,38,350
05,73,127
05,75,139
06,04,177
06,06,392321
06,13,1063
06,31,104
06,69,188
06,73,145
06,75,1015
06,83,2544
06,92,474
06,93,173
06,94,141
06,95,327
06,MO,27984
06,SU,159
06,ZZ,788
07,07,90711
07,13,371
07,26,23364
07,30,1185
07,34,116
07,38,2463
07,42,1031
07,43,518
07,48,221
07,69,1940
07,73,175
07,75,210
07,84,714
08,02,686
08,08,87684
08,51,7565
08,55,546
08,57,101
08,59,196
08,75,247
08,BE,3141
08,LU,399
09,09,49424
09,11,621
09,31,5316
09,66,110
10,08,107
10,10,104592
10,21,374
10,51,1706
10,52,843
10,75,1418
10,77,1882
10,78,111
10,89,1641
10,91,173
10,92,303
10,93,297
10,94,300
10,95,135
11,09,751
11,11,116601
11,13,242
11,30,149
11,31,4033
11,34,3979
11,66,1535
11,75,182
11,81,311
11,ZZ,162
12,12,104490
12,15,383
12,30,119
12,31,528
12,34,587
12,46,2173
12,48,626
12,75,122
12,81,820
12,82,247
13,04,1035
13,05,352
13,06,904
13,07,114
13,13,731513
13,26,416
13,30,3300
13,31,284
13,34,776
13,35,107
13,38,331
13,59,137
13,69,945
13,73,157
13,75,2565
13,77,179
13,78,255
13,83,5634
13,84,13831
13,91,270
13,92,1077
13,93,386
13,94,318
13,95,487
13,SU,159
13,ZZ,749
14,14,255329
14,27,1882
14,35,359
14,44,176
14,50,5444
14,59,154
14,61,4481
14,72,107
14,73,147
14,75,1904
14,76,2812
14,77,128
14,78,419
14,91,201
14,92,771
14,93,388
14,94,222
14,95,243
14,ZZ,168
15,12,623
15,15,55132
15,19,1203
15,43,338
15,46,484
15,48,341
15,63,675
16,16,126954
16,17,2719
16,24,815
16,33,865
16,75,354
16,79,507
16,86,1116
16,87,1657
16,92,202
16,ZZ,157
17,16,6371
17,17,218149
17,24,409
17,31,124
17,33,3498
17,44,405
17,75,800
17,78,162
17,79,3658
17,85,1099
17,86,593
17,87,133
17,91,139
17,92,303
17,93,168
17,94,129
17,95,184
17,ZZ,175
18,03,795
18,18,101879
18,36,2283
18,37,272
18,41,1037
18,45,1819
18,58,4834
18,63,116
18,75,557
18,92,182
18,94,129
19,15,588
19,19,86158
19,23,257
19,24,1584
19,31,198
19,33,208
19,46,1710
19,63,347
19,75,256
19,87,1672
19,92,109
21,10,393
21,21,208063
21,25,880
21,39,1689
21,52,569
21,57,113
21,58,196
21,67,128
21,69,760
21,70,507
21,71,3627
21,75,1006
21,77,108
21,78,101
21,89,1253
21,91,118
21,92,451
21,93,134
21,94,180
21,SU,105
21,ZZ,154
22,14,124
22,22,202935
22,29,4263
22,35,12710
22,44,428
22,49,142
22,50,173
22,56,2874
22,75,530
22,76,118
22,78,156
22,91,147
22,92,304
22,93,130
22,94,147
22,95,113
22,ZZ,289
23,03,716
23,19,331
23,23,38627
23,36,688
23,63,428
23,75,113
23,87,1262
24,16,1107
24,17,254
24,19,2393
24,24,137071
24,31,216
24,33,5863
24,46,853
24,47,1022
24,75,317
24,87,1197
24,92,113
24,ZZ,148
25,01,101
25,21,731
25,25,179548
25,39,2311
25,67,234
25,68,832
25,69,174
25,70,3801
25,71,128
25,74,112
25,75,355
25,84,107
25,90,6129
25,92,168
25,SU,25994
26,01,109
26,05,153
26,07,11527
26,13,545
26,26,170376
26,30,821
26,34,145
26,38,5684
26,42,243
26,69,3218
26,73,213
26,74,171
26,75,438
26,83,125
26,84,4635
26,92,216
26,93,117
26,95,102
26,ZZ,135
27,14,4687
27,27,169530
27,28,5021
27,50,119
27,59,113
